epoch,acc,loss,lr,val_acc,val_loss
0,0.905029296875,1.3682279091444798,0.01,0.9091796875,0.65408062655478716
1,0.9044189453125,0.55655749992001802,0.01,0.82470703125,0.52805621642619371
2,0.9107666015625,0.42440480430377647,0.01,0.9091796875,0.41252639354206622
3,0.90728759765625,0.38378123592701741,0.01,0.9091796875,0.36580118094570935
4,0.9049072265625,0.34795320098055527,0.01,0.90966796875,0.30770634138025343
5,0.90838623046875,0.32280635664938018,0.01,0.9091796875,0.37968692032154649
6,0.9105224609375,0.30586318240966648,0.01,0.8994140625,0.38295703404583037
7,0.9102783203125,0.29291497921803966,0.01,0.900390625,0.28393976949155331
8,0.90252685546875,0.30394167805206962,0.01,0.9111328125,0.28035518457181752
9,0.907958984375,0.28673271417210344,0.01,0.91650390625,0.28418567287735641
10,0.91021728515625,0.2772412377235014,0.01,0.91259765625,0.50127673905808479
11,0.915771484375,0.26266843754274305,0.01,0.9140625,0.27548240358009934
12,0.90972900390625,0.2592768985487055,0.01,0.91357421875,0.28780852630734444
13,0.9124755859375,0.26643798098666593,0.01,0.923828125,0.23837280250154436
14,0.91656494140625,0.25456318134092726,0.01,0.92138671875,0.2349956874968484
15,0.9219970703125,0.24437386576028075,0.01,0.916015625,0.24460906500462443
16,0.91595458984375,0.24715840339194983,0.01,0.921875,0.23669082438573241
17,0.916015625,0.24637837616319302,0.01,0.923828125,0.24214306345675141
18,0.9158935546875,0.24437620551907457,0.01,0.92919921875,0.23058850842062384
19,0.92242431640625,0.23339690401917323,0.01,0.7568359375,0.42134954687207937
20,0.922607421875,0.23334320871799719,0.01,0.931640625,0.22729982563760132
21,0.92742919921875,0.23384991870261729,0.01,0.92919921875,0.21715104195754975
22,0.92431640625,0.22674439739785157,0.01,0.921875,0.24504786217585206
23,0.92840576171875,0.22799825645051897,0.01,0.9296875,0.21880105510354042
24,0.9251708984375,0.22390211088350043,0.01,0.927734375,0.23035989375784993
25,0.93115234375,0.21716650758753531,0.01,0.93359375,0.20574082701932639
26,0.9306640625,0.21479272133728955,0.01,0.92724609375,0.22681308025494218
27,0.9267578125,0.21924034548283089,0.01,0.9345703125,0.2189893692266196
28,0.9295654296875,0.22404449364694301,0.01,0.93310546875,0.24137916264589876
29,0.9296875,0.22075994589249603,0.01,0.921875,0.45088964642491192
30,0.9295654296875,0.21809761418262497,0.01,0.9326171875,0.23423307295888662
31,0.930419921875,0.21830420596234035,0.01,0.9326171875,0.21375863277353346
32,0.9310302734375,0.22185835462005343,0.01,0.9375,0.21344217925798148
33,0.93310546875,0.20744542317697778,0.01,0.9345703125,0.19879486982244998
34,0.93524169921875,0.20389765097934287,0.01,0.9365234375,0.20943429553881288
35,0.93194580078125,0.20963109770673327,0.01,0.92578125,0.21275793563108891
36,0.932373046875,0.20762643095804378,0.01,0.92919921875,0.21280741225928068
37,0.93377685546875,0.20668380292772781,0.01,0.9365234375,0.19738614070229232
38,0.93310546875,0.20805547651252709,0.01,0.9443359375,0.18719555798452348
39,0.931640625,0.20672721198934596,0.01,0.93505859375,0.19770752056501806
